HLT_Mu5_v15,269
HLT_Mu8_v13,253
HLT_Mu12_v13,222
HLT_Mu15_v14,196
HLT_Mu20_v13,166
HLT_Mu24_v13,164
HLT_Mu30_v13,135
HLT_Mu40_v11,107
HLT_Mu40_eta2p1_v6,89
HLT_Mu50_eta2p1_v3,79
HLT_Mu60_eta2p1_v6,63
HLT_Mu100_eta2p1_v6,33
HLT_Mu200_eta2p1_v3,102
HLT_IsoMu15_v19,103
HLT_IsoMu15_eta2p1_v6,131
HLT_IsoMu20_v14,130
HLT_IsoMu24_v14,109
HLT_IsoMu24_eta2p1_v8,105
HLT_IsoMu30_eta2p1_v8,97
HLT_IsoMu34_eta2p1_v6,89
HLT_IsoMu40_eta2p1_v3,77
HLT_L2DoubleMu23_NoVertex_v9,75
HLT_L2DoubleMu30_NoVertex_v5,63
HLT_L2DoubleMu30_NoVertex_dPhi2p5_v2,102
HLT_DoubleMu3_v15,134
HLT_DoubleMu5_v6,98
HLT_DoubleMu7_v13,39
HLT_DoubleMu45_v11,7
HLT_DoubleMu7_Acoplanarity03_v5,3
HLT_DoubleMu4_Jpsi_Displaced_v6,2
HLT_DoubleMu5_Jpsi_Displaced_v6,1
HLT_DoubleMu4_Dimuon4_Bs_Barrel_v6,1
HLT_DoubleMu4_Dimuon6_Bs_v6,10
HLT_DoubleMu4p5_LowMass_Displaced_v6,14
HLT_DoubleMu5_LowMass_Displaced_v6,6
HLT_Dimuon0_Omega_Phi_v5,4
HLT_Dimuon0_Jpsi_v11,5
HLT_Dimuon0_Jpsi_NoVertexing_v8,1
HLT_Dimuon0_Upsilon_v11,4
HLT_Dimuon7_Upsilon_Barrel_v6,1
HLT_Dimuon9_Upsilon_Barrel_v6,2
HLT_Dimuon9_PsiPrime_v6,1
HLT_Dimuon10_Jpsi_Barrel_v11,3
HLT_Dimuon11_PsiPrime_v6,1
HLT_Dimuon13_Jpsi_Barrel_v6,3
HLT_TripleMu0_TauTo3Mu_v2,43
HLT_Mu13_Mu8_v12,73
HLT_Mu17_Mu8_v12,61
HLT_Mu17_TkMu8_v5,48
HLT_TripleMu5_v14,8
HLT_DoubleMu5_IsoMu5_v13,2
